name,size,percent_used,index_scans,seq_scans,unused
public.idx_travel_legs_tenant_id,8192 bytes,100%,302,0,f
public.idx_order_queue_sale,8192 bytes,0%,0,0,t
public.idx_chef_culinary_words_chef,8192 bytes,100%,120,0,f
public.idx_employees_chef,8192 bytes,100%,1313,0,f
public.idx_hub_guest_event_history_event,8192 bytes,0%,0,0,t
public.idx_leftover_chef,8192 bytes,0%,0,0,t
public.prospect_stage_history_prospect_idx,8192 bytes,0%,0,0,t
public.idx_served_dish_chef,8192 bytes,100%,21,0,f
public.idx_dlq_last_failed,8192 bytes,0%,0,0,t
public.favorite_chefs_pkey,8192 bytes,0%,0,0,t
public.idx_goal_snapshots_tenant_month,8192 bytes,100%,17,0,f
public.idx_event_live_status_timestamp,8192 bytes,0%,0,0,t
public.sops_pkey,8192 bytes,0%,0,0,t
public.idx_outreach_log_prospect,8192 bytes,0%,0,0,t
public.idx_container_inventory_chef,8192 bytes,100%,1,0,f
public.idx_prep_blocks_chef_date,8192 bytes,100%,165,0,f
